run,tick,timestamp_ms,family,action,raw_action,kind,reward,best_action_training,best_reward_training,phase_active,phase_age,episode_relation,episode_binding_pressure,episode_release_pressure,trade_readiness,mature_transfer,relative_positive_reward
44,1,1767310300000000,dio_1fqy,WAIT,WAIT,observed_potential,0.0,SHORT,1.554965,0,9999,none,0.0,1.0,0.005518,0.005518,0.0
44,2,1767310600000000,dio_18je,WAIT,WAIT,observed_potential,0.0,SHORT,1.342856,0,9999,none,0.0,1.0,0.005394,0.005394,0.0
44,3,1767310900000000,dio_1xdw,WAIT,WAIT,observed_potential,0.0,SHORT,0.575858,0,9999,none,0.0,1.0,0.004999,0.004999,0.0
44,4,1767311200000000,dio_1y8o,WAIT,WAIT,observed_potential,0.0,LONG,0.087496,0,9999,none,0.0,1.0,0.004275,0.004275,0.0
44,5,1767311500000000,dio_1gz3,WAIT,WAIT,observed_potential,0.0,LONG,0.361255,0,9999,none,0.0,1.0,0.003946,0.003946,0.0
44,6,1767311800000000,dio_0my4,WAIT,WAIT,observed_potential,0.0,LONG,0.428722,0,9999,none,0.0,1.0,0.00366,0.00366,0.0
44,7,1767312100000000,dio_1e6y,WAIT,WAIT,observed_potential,0.0,LONG,0.941453,0,9999,none,0.0,1.0,0.004158,0.004158,0.0
44,8,1767312400000000,dio_15th,WAIT,WAIT,observed_potential,0.0,LONG,1.296838,0,9999,none,0.0,1.0,0.004028,0.004028,0.0
44,9,1767312700000000,dio_1k0r,WAIT,WAIT,observed_potential,0.0,LONG,1.668707,0,9999,none,0.0,1.0,0.004439,0.004439,0.0
44,10,1767313000000000,dio_1iuo,WAIT,WAIT,observed_potential,0.0,LONG,1.80282,0,9999,none,0.0,1.0,0.004461,0.004461,0.0
44,11,1767313300000000,dio_1pyo,WAIT,WAIT,observed_potential,0.0,LONG,1.459216,0,9999,none,0.0,1.0,0.004688,0.004688,0.0
44,12,1767313600000000,dio_1ytj,LONG,LONG,positive_executed_contact,1.147808,LONG,1.147808,0,9999,none,0.0,1.0,0.204188,0.053485,0.738157
45,1,1767310300000000,dio_1fqy,WAIT,WAIT,observed_potential,0.0,SHORT,1.554965,0,9999,none,0.0,1.0,0.019979,0.019979,0.0
45,2,1767310600000000,dio_18je,WAIT,WAIT,observed_potential,0.0,SHORT,1.342856,0,9999,none,0.0,1.0,0.018078,0.018078,0.0
45,3,1767310900000000,dio_1xdw,WAIT,WAIT,observed_potential,0.0,SHORT,0.575858,0,9999,none,0.0,1.0,0.010235,0.010235,0.0
45,4,1767311200000000,dio_1y8o,WAIT,WAIT,observed_potential,0.0,LONG,0.087496,0,9999,none,0.0,1.0,0.004038,0.004038,0.0
45,5,1767311500000000,dio_1gz3,WAIT,WAIT,observed_potential,0.0,LONG,0.361255,0,9999,none,0.0,1.0,0.00725,0.00725,0.0
45,6,1767311800000000,dio_0my4,WAIT,WAIT,observed_potential,0.0,LONG,0.428722,0,9999,none,0.0,1.0,0.007593,0.007593,0.0
45,7,1767312100000000,dio_1e6y,WAIT,WAIT,observed_potential,0.0,LONG,0.941453,0,9999,none,0.0,1.0,0.012972,0.012972,0.0
45,8,1767312400000000,dio_15th,WAIT,WAIT,observed_potential,0.0,LONG,1.296838,0,9999,none,0.0,1.0,0.016453,0.016453,0.0
45,9,1767312700000000,dio_1k0r,WAIT,WAIT,observed_potential,0.0,LONG,1.668707,0,9999,none,0.0,1.0,0.020565,0.020565,0.0
45,10,1767313000000000,dio_1iuo,WAIT,WAIT,observed_potential,0.0,LONG,1.80282,0,9999,none,0.0,1.0,0.021999,0.021999,0.0
45,11,1767313300000000,dio_1pyo,WAIT,WAIT,observed_potential,0.0,LONG,1.459216,0,9999,none,0.0,1.0,0.019025,0.019025,0.0
45,12,1767313600000000,dio_1ytj,LONG,LONG,positive_executed_contact,1.147808,LONG,1.147808,0,9999,none,0.0,1.0,0.386751,0.057038,0.738157
46,1,1767310300000000,dio_1fqy,SHORT,SHORT,positive_executed_contact,1.554965,SHORT,1.554965,0,9999,none,0.0,1.0,0.061473,0.061473,1.0
46,6,1767311800000000,dio_0my4,WAIT,WAIT,observed_potential,0.0,LONG,0.428722,0,5,different_contact,0.0,1.0,0.019142,0.019142,0.0
46,7,1767312100000000,dio_1e6y,WAIT,WAIT,observed_potential,0.0,LONG,0.941453,0,6,different_contact,0.0,1.0,0.038173,0.038173,0.0
46,8,1767312400000000,dio_15th,LONG,LONG,positive_executed_contact,1.296838,LONG,1.296838,0,7,different_contact,0.0,1.0,0.051073,0.051073,0.833998
46,13,1767313900000000,dio_1ieq,WAIT,WAIT,observed_potential,0.0,LONG,0.754443,0,5,different_contact,0.0,1.0,0.046758,0.046758,0.0
46,14,1767314200000000,dio_0786,WAIT,WAIT,observed_potential,0.0,LONG,0.316334,0,6,different_contact,0.0,1.0,0.004144,0.004144,0.0
46,15,1767314500000000,dio_0lt6,SHORT,SHORT,burdened_executed_contact,-0.249492,LONG,0.049492,0,7,different_contact,0.0,1.0,0.329321,0.066798,0.0
47,1,1767310300000000,dio_1fqy,SHORT,SHORT,positive_executed_contact,1.554965,SHORT,1.554965,0,9999,none,0.0,1.0,0.216453,0.075255,1.0
47,6,1767311800000000,dio_0my4,WAIT,WAIT,observed_potential,0.0,LONG,0.428722,0,5,different_contact,0.0,1.0,0.036879,0.036879,0.0
47,7,1767312100000000,dio_1e6y,LONG,LONG,positive_executed_contact,0.941453,LONG,0.941453,0,6,different_contact,0.0,1.0,0.07695,0.059666,0.60545
47,12,1767313600000000,dio_1ytj,LONG,LONG,positive_executed_contact,1.147808,LONG,1.147808,0,5,new_contact,0.483344,0.65589,0.497767,0.062001,0.738157
